area,unit,geo,edm_id,edm_suffix,x,y,z,edm_best,spit,surface,exc,dip_clock,orient_clock,dip_degree,orient_degree,dip_comp,orient_comp,length,width,thickness,comment,date,time,geo_takis,geo_description,plunge,bearing,elong_index
B,933/594,4,128,0,933.135,594.255,350.319,KN,6,,TKN,2,10,22,286,8 NW,292,160,54,26,long bone fragment with removal and cut marks,2015-05-22,11:39:39,UB4c,Mudflow,8,292,2.962962963
B,933/595,3,60,0,933.531,595.437,350.399,KN,2,,ES,3,5,45,136,40 SE,138,49,22,13,,2015-06-01,10:51:51,UB4c,Mudflow,40,138,2.2272727273
B,933/595,3,62,0,933.348,595.375,350.421,KN,2,,ES,1,14,0,46,10 SW,210,54,25,5,,2015-06-01,12:33:41,UB4c,Mudflow,10,210,2.16
B,933/595,3,71,0,933.345,595.074,350.383,KN,3,,ES,4,3,67,76,54 NE,46,261,60,33,,2015-06-02,10:57:52,UB4c,Mudflow,54,46,4.35
B,933/595,3,49,0,933.286,595.134,350.528,HZ,1,,ES,3,10,45,286,40 W,284,121,39,19,,2015-05-29,13:58:02,UB4c,Mudflow,40,284,3.1025641026
B,933/595,3,65,0,933.924,595.479,350.412,KN,2,,ES,3,4,45,106,28 E,100,55,18,8,,2015-06-01,13:56:52,UB4c,Mudflow,28,100,3.0555555556
B,933/596,UB4b,25,0,933.848,596.285,350.585,KN,4,,ES,2,8,22,226,30 W,250,130,25,10,long bone fragment,2016-04-02,10:49:05,UB4c,,30,250,5.2
B,933/596,UB4b,47,0,933.361,596.615,350.421,LOST.KN,6,,ES,2,5,22,136,18 SE,138,42,19,10,long bone fragment,2016-04-08,12:47:58,UB4c,,18,138,2.2105263158
B,933/597,UB4b,30,0,933.587,597.306,350.535,KN,5,,DV,NA,NA,NA,NA,12 SW,224,100,13,NA,long bone fragment,2016-04-06,11:50:31,UB4c,,12,224,7.6923076923
B,933/598,UB4b,55,0,933.935,598.684,350.387,KN,6,,DV,NA,NA,NA,NA,24 E,92,75,35,6,bone fragment,2016-04-08,12:58:12,UB4c,,24,92,2.1428571429
B,933/598,UB4b,45,0,933.842,598.543,350.437,HZ,5,,DV,NA,NA,NA,NA,6 SE,130,190,45,20,,2016-04-07,11:23:13,UB4c,,6,130,4.2222222222
B,933/598,UB4b,33,0,933.254,598.426,350.505,LI,3,,DV,NA,NA,NA,NA,50 W,152,45,21,17,"retouched flake/tool, radiolarite",2016-04-04,15:12:38,UB4c,,50,152,2.1428571429
B,933/598,UB4b,28,0,933.18,598.167,350.525,LI,3,,DV,2,2,22,46,28 NE,60,29,15,8,"right distal flake fragment, radiolarite, close to crack",2016-04-04,09:25:18,UB4c,,28,60,1.9333333333
B,933/600,1,63,0,933.693,600.514,350.322,LI,8,,ER,4,5,67,136,50 SE,128,29,13,10,"radiolarite, flake fragment",2015-05-12,11:18:15,UB4c,Mudflow,50,128,2.2307692308
B,933/600,1,113,0,933.837,600.985,350.154,KN,11,,"ER, AV",3,3,45,76,40 NE,70,72,29,24,,2015-05-27,11:09:56,UB4c,Mudflow,40,70,2.4827586207
B,933/600,1,74,0,933.562,600.684,350.247,LI,9,,ER,2,6,22,166,30 E,0,24,13,12,"radiolarite, cortical pebble fragment",2015-05-14,10:23:50,UB4c,Mudflow,30,0,1.8461538462
B,933/600,1,52,0,933.396,600.875,350.353,LI,7,,ER,3,6,45,166,40 NW,310,27,14,11,"radiolarite, cortical flake fragment",2015-05-11,10:00:58,UB4c,Mudflow,40,310,1.9285714286
B,933/601,1,34,0,933.369,601.936,350.349,KN,7,,GM,3,5,45,136,50 NE,100,70,30,10,big bone fragment,2015-05-14,10:06:14,UB4c,Mudflow,50,100,2.3333333333
B,933/602,1,56,0,933.791,602.18,350.295,LI,7,,GM,5,18,90,346,24 S,180,26,15,7,"radiolarite, flake fragment",2015-05-15,10:11:36,UB4c,Mudflow,24,180,1.7333333333
B,934/595,4,72,0,934.751,595.141,350.419,KN,4,,ES,2,8,22,226,20 W,274,46,26,5,"long bone fragment, possible cut mark",2015-05-13,13:53:15,UB4c,Mudflow,20,274,1.7692307692
B,934/595,4,60,0,934.42,595.368,350.458,ZN,3,,ES,4,8,67,226,32 W,260,60,30,10,ivory fragment,2015-05-12,11:51:41,UB4c,Mudflow,32,260,2
B,934/595,4,50,0,934.717,595.176,350.487,LI,2,,ES,1,15,0,76,0,60,30,16,11,"radiolarite, debordant flake",2015-05-11,11:17:36,UB4c,Mudflow,0,60,1.875
B,934/595,4,73,0,934.666,595.154,350.395,KN,4,,ES,3,5,45,136,34 SE,158,40,20,4,skull fragment,2015-05-14,07:57:44,UB4c,Mudflow,34,158,2
B,934/596,UB4b,26,0,934.125,596.321,350.415,KN,7,,NT,NA,NA,NA,NA,60 E,60,34,5,4,bird bone fragment,2016-04-08,12:05:10,UB4c,,60,60,6.8
B,934/596,UB4b,23,0,934.402,596.384,350.464,KN,6,,NT,NA,NA,NA,NA,6 W,285,44,23,12,bone fragment,2016-04-06,11:30:36,UB4c,,6,285,1.9130434783
B,934/596,UB4b,29,0,934.347,596.732,350.455,KN,7,,NT,NA,NA,NA,NA,0,70,50,30,20,bone fragment,2016-04-08,14:05:12,UB4c,,0,70,1.6666666667
B,934/596,UB4b,32,0,934.252,596.697,350.369,KN,8,,NT,NA,NA,NA,NA,52 N,360,40,13,11,long bone fragment,2016-04-11,11:14:22,UB4c,,52,360,3.0769230769
B,934/598,UB4b,7,0,934.118,598.955,350.647,KN,1,,DV,6,16,90,106,0,158,33,19,1,"fish bone, broken on site",2016-03-29,09:29:48,UB4c,,0,158,1.7368421053
B,934/599,1,111,0,934.742,599.406,350.129,KN,12,,DV,4,2,67,46,40 N,10,75,20,25,,2015-05-19,11:48:28,UB4c,Mudflow,40,10,3.75
B,934/599,1,108,0,934.92,599.835,350.14,KN,12,,DV,1,15,0,76,16 E,70,55,5,3,,2015-05-19,10:50:12,UB4c,Mudflow,16,70,11
B,934/599,1,91,0,934.09,599.69,350.172,KN,11,,DV,4,5,67,136,40 SE,110,75,25,15,long bone fragment,2015-05-15,09:35:50,UB4c,Mudflow,40,110,3
B,935/593,UB4b,2,0,935.791,593.449,350.251,KN,,,NT,NA,NA,NA,NA,50 S,180,40,25,24,phalanx from east section,2016-03-22,15:10:43,UB4c,,50,180,1.6
