"","unit","edm_id","YEAR","SKELETAL.ELEMENT","REFIT","CLASS","ORDER","FAMILY","GENUS","SPECIES","area","geo","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing"
"54","941/674",46,2014,"rib (complete)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,940.988,674.706,349.284,"Elephant bone","","","",1,14,0,46,"",NA,NA,NA,NA,"rib","2014-11-02","14:30:44","UA4","",0,46
"55","941/674",47,2015,"rib frag., goes with 941/673-42 (slightly shifted at site, complete)","941/673-42","Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,941.575,673.969,349.129,"Elephant bone","","","",2,9,22,256,"",NA,NA,NA,NA,"rib fragment, refit with 941/673 ID 42","2015-06-02","17:37:03","UA4","",22,256
"57","941/675",45,2014,"cervical vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,941.885,675.418,349.371,"Elephant bone","","","",1,18,0,346,"",NA,NA,NA,NA,"cervical vertebra","2014-11-02","12:09:25","UA4","",0,346
"58","941/675",46,2014,"humerus sin (partly in the cranium plaster-jacket)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,941.772,675.332,349.404,"Elephant bone","","","",1,14,0,46,"",NA,NA,NA,NA,"humerus sin., rest in cranium plaster jacket","2014-11-02","12:49:11","UA4","",0,46
"60","941/676",55,2015,"trapezoid dex",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,941.219,676.932,349.161,"Elephant bone","","","IS",1,15,0,76,"",NA,130,80,70,"trapezoid dex.","2015-05-22","14:39:45","UA4","",0,76
"61","941/676",57,2015,"rib (complete)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,940.775,675.841,349.339,"Elephant bone","","","",1,15,0,76,"",NA,NA,NA,NA,"rib","2014-11-02","13:41:26","UA4","",0,76
"64","941/676",73,2016,"rib (most part in the cranium plaster-jacket)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","",0,941.803,676.029,349.295,"Elephant bone","","","",1,14,0,46,"",NA,NA,NA,NA,"elephant bone sticking out from skull pedestal, rest in cranium plaster jacket","2016-04-07","13:41:53","","",0,46
"65","941/677",59,2016,"metacarpal II dex",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,941.777,677.643,349.143,"Elephant bone","","","",2,12,22,346,"",NA,NA,NA,NA,"metacarpale II dex.","2016-03-31","11:33:07","UA4","",22,346
"66","942/673",28,2014,"rib (head) frag. (unit an the section)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,942.535,673.285,349.075,"Elephant bone","","","GT",1,18,0,346,"",NA,116,NA,NA,"rib fragment","2014-11-05","09:39:11","UA4","",0,346
"67","942/673",34,2015,"rib (head) frag. (unit an the section)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,942.511,673.295,349.066,"Elephant bone","3","","IS",2,2,22,46,"",NA,90,50,40,"rib fragment","2015-06-02","09:46:45","UA4","",22,46
"68","942/673",36,2015,"rib (first)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,942.657,673.578,348.952,"Elephant bone","","","",2,6,22,166,"",NA,NA,NA,NA,"first rib","2015-06-03","12:28:46","UA4","",22,166
"69","942/673",38,2015,"rib (head part)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,942.653,673.886,349.07,"Elephant bone","","","",1,15,0,76,"",NA,NA,NA,NA,"rib","2015-06-03","12:57:58","UA4","",0,76
"70","942/673",39,2015,"spine of thoracic vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,942.667,673.811,349.037,"Elephant bone","","","",1,14,0,46,"",NA,NA,NA,NA,"spine of thoracic vertebra","2015-06-03","13:04:45","UA4","",0,46
"71","942/673",40,2015,"rib (outer part)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,942.305,673.312,349.087,"Elephant bone","","","",2,10,22,286,"",NA,NA,NA,NA,"rib","2015-06-03","13:55:18","UA4","",22,286
"72","942/673",41,2015,"lumbar vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,942.528,673.52,349.116,"Elephant bone","","","",3,8,45,226,"",NA,NA,NA,NA,"lumbar vertebra","2015-06-03","14:06:02","UA4","",45,226
"73","942/674",50,2014,"thoracic vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","7",0,942.763,674.678,349.074,"Elephant bone","","","GT",1,17,0,136,"",NA,NA,NA,NA,"thoracic vertebra","2014-11-03","12:06:23","UA4","",0,136
"74","942/674",51,2015,"rib (complete)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","7",0,942.624,674.671,349.253,"Elephant bone","","","GT",2,2,22,46,"",NA,NA,NA,NA,"rib","2014-11-03","13:21:21","UA4","",22,46
"75","942/674",63,2016,"caudal vertebra frags.",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","7",0,942.083,674.026,349.057,"Elephant bone","","","GK",4,12,67,346,"",NA,NA,NA,NA,"caudal vertebra","2016-03-26","14:06:30","UA4","",67,346
"79","943/676",1,2016,"phalanx",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,943.024,676.839,349.074,"Elephant bone","1","","AA",2,1,22,16,"",NA,NA,NA,NA,"phalanx","2016-04-01","14:15:22","UA4","",22,16
