"","area","unit","geo","edm_id","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing","elong_index"
"32087","B","933/595","4",83,0,933.753,595.52,350.281,"KN","1","","ES",2,9,22,256,"",NA,30,18,12,"burnt bone","2015-06-03","11:28:18","UB5a","Homogeneous clay",22,256,1.66666666666667
"32097","B","933/595","4",84,0,933.391,595.709,350.334,"KN","1","","ES",3,9,45,256,"",NA,40,23,20,"","2015-06-03","11:29:32","UB5a","Homogeneous clay",45,256,1.73913043478261
"32103","B","933/595","4",82,0,933.586,595.339,350.294,"KN","1","","ES",1,13,0,16,"",NA,25,15,5,"","2015-06-03","11:27:04","UB5a","Homogeneous clay",0,16,1.66666666666667
"33206","B","933/598","UB5a",77,0,933.716,598.492,350.346,"LOST.KN","1","","DV",1,15,0,76,"",NA,34,10,3,"bone fragment","2016-04-13","14:00:54","UB5a","",0,76,3.4
"34526","B","933/602","2",59,0,933.922,602.744,350.305,"KN","2","","GM",2,11,22,316,"20 N",340,70,6,6,"bird long bone","2015-05-15","10:59:20","UB5a","Homogeneous clay",22,316,11.6666666666667
"35382","B","934/594","4",104,0,934.024,594.16,350.396,"KN","5","","TKN",2,4,22,106,"6 E",94,62,19,9,"","2015-05-20","09:12:18","UB5a","Homogeneous clay",22,106,3.26315789473684
"35387","B","934/594","4",103,0,934.768,594.95,350.457,"KN","3","","ES",2,4,22,106,"16 SE",120,90,24,8,"long bone fragment","2015-05-12","10:17:51","UB5a","Homogeneous clay",22,106,3.75
