"","area","unit","geo","edm_id","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing","elong_index"
"31601","B","933/594","4",93,0,933.255,594.956,350.427,"KN","4","","TKN",2,7,22,196,"42 S",200,37,15,12,"","2015-05-19","08:56:32","UB4c","Mudflow",22,196,2.46666666666667
"31606","B","933/594","4",105,0,933.946,594.834,350.391,"KN","5","","TKN",6,18,90,346,"",NA,32,12,8,"","2015-05-20","10:32:15","UB4c","Mudflow",90,346,2.66666666666667
"31630","B","933/594","4",84,0,933.549,594.42,350.467,"HZ","3","","TKN",3,12,45,346,"",NA,36,14,5,"","2015-05-18","08:42:44","UB4c","Mudflow",45,346,2.57142857142857
"31631","B","933/594","4",116,0,933.358,594.05,350.353,"KN","5","","TKN",1,15,0,76,"",NA,34,16,16,"","2015-05-21","09:50:39","UB4c","Mudflow",0,76,2.125
"31638","B","933/594","4",80,0,933.361,594.886,350.491,"KN","3","","TKN",4,11,67,316,"",NA,26,10,4,"","2015-05-15","11:07:51","UB4c","Mudflow",67,316,2.6
"31656","B","933/594","4",118,0,933.291,594.914,350.381,"KN","5","","TKN",4,12,67,346,"",NA,24,8,5,"","2015-05-21","11:10:40","UB4c","Mudflow",67,346,3
"31663","B","933/594","4",128,0,933.135,594.255,350.319,"KN","6","","TKN",2,10,22,286,"8 NW",292,160,54,26,"long bone fragment with removal and cut marks","2015-05-22","11:39:39","UB4c","Mudflow",22,286,2.96296296296296
"31951","B","933/595","3",60,0,933.531,595.437,350.399,"KN","2","","ES",3,5,45,136,"40 SE",138,49,22,13,"","2015-06-01","10:51:51","UB4c","Mudflow",45,136,2.22727272727273
"31953","B","933/595","3",62,0,933.348,595.375,350.421,"KN","2","","ES",1,14,0,46,"10 SW",210,54,25,5,"","2015-06-01","12:33:41","UB4c","Mudflow",0,46,2.16
"31959","B","933/595","3",56,0,933.319,595.949,350.545,"KN","1","","ES",2,8,22,226,"",NA,26,15,6,"long bone fragment","2015-05-30","11:41:20","UB4c","Mudflow",22,226,1.73333333333333
"31966","B","933/595","3",72,0,933.946,595.631,350.315,"KN","3","","LP",2,7,22,196,"",NA,30,10,5,"","2015-06-02","11:48:11","UB4c","Mudflow",22,196,3
"31973","B","933/595","3",57,0,933.205,595.972,350.545,"KN","1","","ES",3,10,45,286,"",NA,55,19,14,"","2015-05-30","11:49:36","UB4c","Mudflow",45,286,2.89473684210526
"31976","B","933/595","3",73,0,933.946,595.622,350.307,"KN","3","","LP",2,7,22,196,"",NA,25,15,5,"broken","2015-06-02","12:09:52","UB4c","Mudflow",22,196,1.66666666666667
"31986","B","933/595","3",55,0,933.364,595.546,350.53,"KN","1","","ES",4,5,67,136,"",NA,40,20,5,"broken in two pieces","2015-05-30","11:15:06","UB4c","Mudflow",67,136,2
"31988","B","933/595","3",68,0,933.117,595.822,350.416,"KN","2","","ES",1,14,0,46,"",NA,28,5,4,"bird bone","2015-06-02","10:12:47","UB4c","Mudflow",0,46,5.6
"31998","B","933/595","3",44,0,933.6,595.897,350.514,"KN","1","","ES",3,8,45,226,"",NA,28,9,3,"","2015-05-29","10:51:35","UB4c","Mudflow",45,226,3.11111111111111
"32000","B","933/595","3",71,0,933.345,595.074,350.383,"KN","3","","ES",4,3,67,76,"54 NE",46,261,60,33,"","2015-06-02","10:57:52","UB4c","Mudflow",67,76,4.35
"32004","B","933/595","3",49,0,933.286,595.134,350.528,"HZ","1","","ES",3,10,45,286,"40 W",284,121,39,19,"","2015-05-29","13:58:02","UB4c","Mudflow",45,286,3.1025641025641
"32009","B","933/595","3",65,0,933.924,595.479,350.412,"KN","2","","ES",3,4,45,106,"28 E",100,55,18,8,"","2015-06-01","13:56:52","UB4c","Mudflow",45,106,3.05555555555556
